,Total Cases
9694,9555.0
9745,8112.0
9796,7290.0
9847,4814.0
9898,7832.0
9949,5804.0
10000,5730.0
10051,8089.0
10102,7963.0
10153,6079.0
10204,6214.0
10255,10871.0
10306,14070.0
10357,9086.0
10408,8204.0
10459,10469.0
10510,6638.0
10561,4525.0
10612,9964.0
10663,6168.0
10714,6797.0
10765,6093.0
10816,6876.0
10867,4740.0
10918,3328.0
10969,7825.0
11020,6049.0
11071,5287.0
11122,5244.0
11173,4615.0
11224,4430.0
11275,2689.0
11326,7830.0
11377,4250.0
11428,5118.0
11479,4267.0
11530,5645.0
11581,4138.0
11632,2198.0
11683,2400.0
11734,3098.0
11785,4661.0
11836,2253.0
11887,5433.0
11938,3009.0
11989,1986.0
12040,4985.0
12091,2906.0
12142,2935.0
12193,4125.0
12244,4421.0
12295,3631.0
12346,2008.0
12397,4916.0
12448,2833.0
12499,3330.0
12550,3205.0
12601,4090.0
12652,3894.0
12703,1680.0
12754,3581.0
12805,3098.0
12856,2787.0
12907,3534.0
12958,4175.0
13009,2812.0
13060,2193.0
13111,3999.0
13162,2698.0
13213,3577.0
13264,3694.0
13315,3869.0
13366,2693.0
13417,2218.0
13468,3036.0
13519,4474.0
13570,3456.0
13621,3036.0
13672,3068.0
13723,1957.0
13774,1391.0
13825,4777.0
13876,4002.0
13927,3380.0
13978,6816.0
14029,5509.0
14080,4373.0
14131,2091.0
14182,5137.0
14233,4520.0
14284,4193.0
14335,3909.0
14386,5142.0
14437,3149.0
14488,2977.0
14539,5157.0
14590,5861.0
14641,5212.0
14692,5986.0
14743,6782.0
14794,5322.0
14845,4653.0
14896,7750.0
14947,8603.0
14998,5391.0
15049,10507.0
15100,9815.0
15151,7766.0
15202,6537.0
15253,13236.0
15304,10597.0
15355,11418.0
15406,14413.0
15457,6592.0
15508,16885.0
15559,5428.0
15610,21921.0
15661,16815.0
15712,13455.0
15763,7618.0
15814,12764.0
15865,15629.0
15916,10620.0
15967,20523.0
16018,17636.0
16069,19764.0
16120,20765.0
16171,21754.0
16222,20999.0
16273,20995.0
16324,33591.0
16375,33768.0
16426,33334.0
16477,30547.0
16528,39140.0
16579,26496.0
16630,22067.0
16681,43385.0
16732,32526.0
16783,48922.0
16834,54287.0
16885,54234.0
16936,34833.0
16987,27470.0
5,
56,0.0
107,0.0
158,0.0
209,0.0
260,0.0
311,0.0
362,0.0
413,0.0
464,0.0
515,0.0
566,0.0
617,0.0
668,0.0
719,0.0
770,0.0
821,0.0
872,0.0
923,0.0
974,0.0
1025,0.0
1076,0.0
1127,0.0
1178,0.0
1229,0.0
1280,0.0
1331,0.0
1382,0.0
1433,0.0
1484,0.0
1535,0.0
1586,0.0
1637,0.0
1688,0.0
1739,0.0
1790,0.0
1841,0.0
1892,0.0
1943,0.0
1994,0.0
2045,0.0
2096,0.0
2147,0.0
2198,0.0
2249,3.0
2300,4.0
2351,0.0
2402,7.0
2453,4.0
2504,6.0
2555,25.0
2606,25.0
2657,23.0
2708,30.0
2759,0.0
2810,52.0
2861,0.0
2912,85.0
2963,77.0
3014,133.0
3065,116.0
3116,125.0
3167,178.0
3218,175.0
3269,259.0
3320,269.0
3371,298.0
3422,226.0
3473,344.0
3524,372.0
3575,366.0
3626,378.0
3677,435.0
3728,339.0
3779,338.0
3830,204.0
3881,281.0
3932,240.0
3983,448.0
4034,310.0
4085,285.0
4136,278.0
4187,244.0
4238,187.0
4289,213.0
4340,1197.0
4391,390.0
4442,377.0
4493,263.0
4544,365.0
4595,361.0
4646,441.0
4697,372.0
4748,995.0
4799,684.0
4850,430.0
4901,435.0
4952,447.0
5003,459.0
5054,505.0
5105,462.0
5156,433.0
5207,384.0
5258,282.0
5309,511.0
5360,491.0
5411,552.0
5462,469.0
5513,505.0
5564,283.0
5615,247.0
5666,329.0
5717,331.0
5768,377.0
5819,404.0
5870,384.0
5921,297.0
5972,274.0
6023,292.0
6074,319.0
6125,358.0
6176,304.0
6227,437.0
6278,204.0
6329,203.0
6380,294.0
6431,224.0
6482,354.0
6533,491.0
6584,486.0
6635,280.0
6686,199.0
6737,208.0
6788,273.0
6839,301.0
6890,256.0
6941,231.0
6992,153.0
7043,179.0
7094,164.0
7145,152.0
7196,148.0
7247,176.0
7298,196.0
7349,112.0
7400,169.0
7451,133.0
7502,241.0
7553,229.0
7604,286.0
7655,162.0
7706,188.0
7757,167.0
7808,188.0
7859,262.0
7910,325.0
7961,317.0
8012,227.0
8063,281.0
8114,206.0
8165,203.0
8216,313.0
8267,326.0
8318,258.0
8369,254.0
8420,199.0
8471,192.0
8522,408.0
8573,452.0
8624,408.0
8675,665.0
8726,402.0
8777,322.0
8828,328.0
8879,443.0
8930,471.0
8981,569.0
9032,620.0
9083,441.0
9134,349.0
9185,423.0
9236,487.0
