,County Name,State
813,Boone County,IA
814,Bremer County,IA
815,Buchanan County,IA
816,Buena Vista County,IA
817,Butler County,IA
818,Calhoun County,IA
819,Carroll County,IA
820,Cass County,IA
821,Cedar County,IA
822,Cerro Gordo County,IA
823,Cherokee County,IA
824,Chickasaw County,IA
825,Clarke County,IA
826,Clay County,IA
827,Clayton County,IA
828,Clinton County,IA
829,Crawford County,IA
830,Dallas County,IA
831,Davis County,IA
832,Decatur County,IA
833,Delaware County,IA
834,Des Moines County,IA
835,Dickinson County,IA
836,Dubuque County,IA
837,Emmet County,IA
838,Fayette County,IA
839,Floyd County,IA
840,Franklin County,IA
841,Fremont County,IA
842,Greene County,IA
843,Grundy County,IA
844,Guthrie County,IA
845,Hamilton County,IA
846,Hancock County,IA
847,Hardin County,IA
848,Harrison County,IA
849,Henry County,IA
850,Howard County,IA
851,Humboldt County,IA
852,Ida County,IA
853,Iowa County,IA
854,Jackson County,IA
855,Jasper County,IA
856,Jefferson County,IA
857,Johnson County,IA
858,Jones County,IA
859,Keokuk County,IA
860,Kossuth County,IA
861,Lee County,IA
862,Linn County,IA
863,Louisa County,IA
864,Lucas County,IA
865,Lyon County,IA
866,Madison County,IA
867,Mahaska County,IA
868,Marion County,IA
869,Marshall County,IA
870,Mills County,IA
871,Mitchell County,IA
872,Monona County,IA
873,Monroe County,IA
874,Montgomery County,IA
875,Muscatine County,IA
876,O'Brien County,IA
877,Osceola County,IA
878,Page County,IA
879,Palo Alto County,IA
880,Plymouth County,IA
881,Pocahontas County,IA
882,Polk County,IA
883,Pottawattamie County,IA
884,Poweshiek County,IA
885,Ringgold County,IA
886,Sac County,IA
887,Scott County,IA
888,Shelby County,IA
889,Sioux County,IA
890,Story County,IA
891,Tama County,IA
892,Taylor County,IA
893,Union County,IA
894,Van Buren County,IA
895,Wapello County,IA
896,Warren County,IA
897,Washington County,IA
898,Wayne County,IA
899,Webster County,IA
900,Winnebago County,IA
901,Winneshiek County,IA
902,Woodbury County,IA
903,Worth County,IA
904,Wright County,IA
905,Statewide Unallocated,KS
906,Allen County,KS
907,Anderson County,KS
908,Atchison County,KS
909,Barber County,KS
910,Barton County,KS
911,Bourbon County,KS
912,Brown County,KS
913,Butler County,KS
914,Chase County,KS
915,Chautauqua County,KS
916,Cherokee County,KS
917,Cheyenne County,KS
918,Clark County,KS
919,Clay County,KS
920,Cloud County,KS
921,Coffey County,KS
922,Comanche County,KS
923,Cowley County,KS
924,Crawford County,KS
925,Decatur County,KS
926,Dickinson County,KS
927,Doniphan County,KS
928,Douglas County,KS
929,Edwards County,KS
930,Elk County,KS
931,Ellis County,KS
932,Ellsworth County,KS
933,Finney County,KS
934,Ford County,KS
935,Franklin County,KS
936,Geary County,KS
937,Gove County,KS
938,Graham County,KS
939,Grant County,KS
940,Gray County,KS
941,Greeley County,KS
942,Greenwood County,KS
943,Hamilton County,KS
944,Harper County,KS
945,Harvey County,KS
946,Haskell County,KS
947,Hodgeman County,KS
948,Jackson County,KS
949,Jefferson County,KS
950,Jewell County,KS
951,Johnson County,KS
952,Kearny County,KS
953,Kingman County,KS
954,Kiowa County,KS
955,Labette County,KS
956,Lane County,KS
957,Leavenworth County,KS
958,Lincoln County,KS
959,Linn County,KS
960,Logan County,KS
961,Lyon County,KS
962,McPherson County,KS
963,Marion County,KS
964,Marshall County,KS
965,Meade County,KS
966,Miami County,KS
967,Mitchell County,KS
968,Montgomery County,KS
969,Morris County,KS
970,Morton County,KS
971,Nemaha County,KS
972,Neosho County,KS
973,Ness County,KS
974,Norton County,KS
975,Osage County,KS
976,Osborne County,KS
977,Ottawa County,KS
978,Pawnee County,KS
979,Phillips County,KS
980,Pottawatomie County,KS
981,Pratt County,KS
982,Rawlins County,KS
983,Reno County,KS
984,Republic County,KS
985,Rice County,KS
986,Riley County,KS
987,Rooks County,KS
988,Rush County,KS
989,Russell County,KS
990,Saline County,KS
991,Scott County,KS
992,Sedgwick County,KS
993,Seward County,KS
994,Shawnee County,KS
995,Sheridan County,KS
996,Sherman County,KS
997,Smith County,KS
998,Stafford County,KS
999,Stanton County,KS
1000,Stevens County,KS
1001,Sumner County,KS
1002,Thomas County,KS
1003,Trego County,KS
1004,Wabaunsee County,KS
1005,Wallace County,KS
1006,Washington County,KS
1007,Wichita County,KS
1008,Wilson County,KS
1009,Woodson County,KS
1010,Wyandotte County,KS
1011,Statewide Unallocated,KY
1012,Adair County,KY
1013,Allen County,KY
1014,Anderson County,KY
1015,Ballard County,KY
1016,Barren County,KY
1017,Bath County,KY
1018,Bell County,KY
1019,Boone County,KY
1020,Bourbon County,KY
1021,Boyd County,KY
1022,Boyle County,KY
1023,Bracken County,KY
1024,Breathitt County,KY
1025,Breckinridge County,KY
1026,Bullitt County,KY
1027,Butler County,KY
1028,Caldwell County,KY
1029,Calloway County,KY
1030,Campbell County,KY
1031,Carlisle County,KY
1032,Carroll County,KY
1033,Carter County,KY
1034,Casey County,KY
1035,Christian County,KY
1036,Clark County,KY
1037,Clay County,KY
1038,Clinton County,KY
1039,Crittenden County,KY
1040,Cumberland County,KY
1041,Daviess County,KY
1042,Edmonson County,KY
1043,Elliott County,KY
1044,Estill County,KY
1045,Fayette County,KY
1046,Fleming County,KY
1047,Floyd County,KY
1048,Franklin County,KY
1049,Fulton County,KY
1050,Gallatin County,KY
1051,Garrard County,KY
1052,Grant County,KY
1053,Graves County,KY
1054,Grayson County,KY
1055,Green County,KY
1056,Greenup County,KY
1057,Hancock County,KY
1058,Hardin County,KY
1059,Harlan County,KY
1060,Harrison County,KY
1061,Hart County,KY
1062,Henderson County,KY
1063,Henry County,KY
1064,Hickman County,KY
1065,Hopkins County,KY
1066,Jackson County,KY
1067,Jefferson County,KY
1068,Jessamine County,KY
1069,Johnson County,KY
1070,Kenton County,KY
1071,Knott County,KY
1072,Knox County,KY
1073,Larue County,KY
1074,Laurel County,KY
1075,Lawrence County,KY
1076,Lee County,KY
1077,Leslie County,KY
1078,Letcher County,KY
1079,Lewis County,KY
1080,Lincoln County,KY
1081,Livingston County,KY
1082,Logan County,KY
1083,Lyon County,KY
1084,McCracken County,KY
1085,McCreary County,KY
1086,McLean County,KY
1087,Madison County,KY
1088,Magoffin County,KY
1089,Marion County,KY
1090,Marshall County,KY
1091,Martin County,KY
1092,Mason County,KY
1093,Meade County,KY
1094,Menifee County,KY
1095,Mercer County,KY
1096,Metcalfe County,KY
1097,Monroe County,KY
1098,Montgomery County,KY
1099,Morgan County,KY
1100,Muhlenberg County,KY
1101,Nelson County,KY
1102,Nicholas County,KY
1103,Ohio County,KY
1104,Oldham County,KY
1105,Owen County,KY
1106,Owsley County,KY
1107,Pendleton County,KY
1108,Perry County,KY
1109,Pike County,KY
1110,Powell County,KY
1111,Pulaski County,KY
1112,Robertson County,KY
1113,Rockcastle County,KY
1114,Rowan County,KY
1115,Russell County,KY
1116,Scott County,KY
1117,Shelby County,KY
1118,Simpson County,KY
1119,Spencer County,KY
1120,Taylor County,KY
1121,Todd County,KY
1122,Trigg County,KY
1123,Trimble County,KY
1124,Union County,KY
1125,Warren County,KY
1126,Washington County,KY
1127,Wayne County,KY
1128,Webster County,KY
1129,Whitley County,KY
1130,Wolfe County,KY
1131,Woodford County,KY
1132,Statewide Unallocated,LA
1133,Acadia Parish,LA
1134,Allen Parish,LA
1135,Ascension Parish,LA
1136,Assumption Parish,LA
1137,Avoyelles Parish,LA
1138,Beauregard Parish,LA
1139,Bienville Parish,LA
1140,Bossier Parish,LA
1141,Caddo Parish,LA
1142,Calcasieu Parish,LA
1143,Caldwell Parish,LA
1144,Cameron Parish,LA
1145,Catahoula Parish,LA
1146,Claiborne Parish,LA
1147,Concordia Parish,LA
1148,De Soto Parish,LA
1149,East Baton Rouge Parish,LA
1150,East Carroll Parish,LA
1151,East Feliciana Parish,LA
1152,Evangeline Parish,LA
1153,Franklin Parish,LA
1154,Grant Parish,LA
1155,Iberia Parish,LA
1156,Iberville Parish,LA
1157,Jackson Parish,LA
1158,Jefferson Parish,LA
1159,Jefferson Davis Parish,LA
1160,Lafayette Parish,LA
1161,Lafourche Parish,LA
1162,La Salle Parish,LA
1163,Lincoln Parish,LA
1164,Livingston Parish,LA
1165,Madison Parish,LA
1166,Morehouse Parish,LA
1167,Natchitoches Parish,LA
1168,Orleans Parish,LA
1169,Ouachita Parish,LA
1170,Plaquemines Parish,LA
1171,Pointe Coupee Parish,LA
1172,Rapides Parish,LA
1173,Red River Parish,LA
1174,Richland Parish,LA
1175,Sabine Parish,LA
1176,St. Bernard Parish,LA
1177,St. Charles Parish,LA
1178,St. Helena Parish,LA
1179,St. James Parish,LA
1180,St. John the Baptist Parish,LA
1181,St. Landry Parish,LA
1182,St. Martin Parish,LA
1183,St. Mary Parish,LA
1184,St. Tammany Parish,LA
1185,Tangipahoa Parish,LA
1186,Tensas Parish,LA
1187,Terrebonne Parish,LA
1188,Union Parish,LA
1189,Vermilion Parish,LA
1190,Vernon Parish,LA
1191,Washington Parish,LA
1192,Webster Parish,LA
1193,West Baton Rouge Parish,LA
1194,West Carroll Parish,LA
1195,West Feliciana Parish,LA
1196,Winn Parish,LA
1197,Statewide Unallocated,ME
1198,Androscoggin County,ME
1199,Aroostook County,ME
1200,Cumberland County,ME
1201,Franklin County,ME
1202,Hancock County,ME
1203,Kennebec County,ME
1204,Knox County,ME
1205,Lincoln County,ME
1206,Oxford County,ME
1207,Penobscot County,ME
1208,Piscataquis County,ME
